LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,mail.onion.com,Mar,4,18:51:47,mail,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=lino rhost=127.0.0.1  user=lino,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'lino', '127.0.0.1', 'lino']"
2,mail.onion.com,Mar,4,18:51:47,mail,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=lino rhost=127.0.0.1  user=lino,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'lino', '127.0.0.1', 'lino']"
3,mail.onion.com,Mar,4,18:51:47,mail,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=lino rhost=127.0.0.1  user=lino,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'lino', '127.0.0.1', 'lino']"
4,mail.onion.com,Mar,4,18:51:47,mail,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=lino rhost=127.0.0.1  user=lino,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'lino', '127.0.0.1', 'lino']"
5,mail.onion.com,Mar,4,18:51:47,mail,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=lino rhost=127.0.0.1  user=lino,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'lino', '127.0.0.1', 'lino']"
6,mail.onion.com,Mar,4,19:09:01,mail,CRON[12092],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
7,mail.onion.com,Mar,4,19:09:01,mail,CRON[12092],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
8,mail.onion.com,Mar,4,19:17:01,mail,CRON[12233],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
9,mail.onion.com,Mar,4,19:17:01,mail,CRON[12233],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
10,mail.onion.com,Mar,4,19:19:35,mail,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=tressa rhost=127.0.0.1  user=tressa,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'tressa', '127.0.0.1', 'tressa']"
11,mail.onion.com,Mar,4,19:19:43,mail,auth,pam_unix(dovecot:auth): authentication failure; logname= uid=0 euid=0 tty=dovecot ruser=tressa rhost=127.0.0.1  user=tressa,58c5527c,pam_unix(dovecot:<*>): authentication failure; logname= uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,"['auth', '0', '0', 'dovecot', 'tressa', '127.0.0.1', 'tressa']"
12,mail.onion.com,Mar,4,19:39:01,mail,CRON[12564],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
13,mail.onion.com,Mar,4,19:39:01,mail,CRON[12564],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
14,mail.onion.com,Mar,4,20:09:01,mail,CRON[13206],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
15,mail.onion.com,Mar,4,20:09:01,mail,CRON[13206],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
16,mail.onion.com,Mar,4,20:17:01,mail,CRON[13371],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
17,mail.onion.com,Mar,4,20:17:01,mail,CRON[13371],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
18,mail.onion.com,Mar,4,20:39:01,mail,CRON[13644],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
19,mail.onion.com,Mar,4,20:39:01,mail,CRON[13644],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
20,mail.onion.com,Mar,4,21:09:01,mail,CRON[13898],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
21,mail.onion.com,Mar,4,21:09:01,mail,CRON[13898],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
22,mail.onion.com,Mar,4,21:17:01,mail,CRON[14052],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
23,mail.onion.com,Mar,4,21:17:01,mail,CRON[14052],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
24,mail.onion.com,Mar,4,21:39:01,mail,CRON[14132],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
25,mail.onion.com,Mar,4,21:39:01,mail,CRON[14132],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
26,mail.onion.com,Mar,4,22:09:01,mail,CRON[14304],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
27,mail.onion.com,Mar,4,22:09:01,mail,CRON[14304],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
28,mail.onion.com,Mar,4,22:17:01,mail,CRON[14408],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
29,mail.onion.com,Mar,4,22:17:01,mail,CRON[14408],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
30,mail.onion.com,Mar,4,22:39:02,mail,CRON[14679],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
31,mail.onion.com,Mar,4,22:39:02,mail,CRON[14679],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
32,mail.onion.com,Mar,4,23:09:02,mail,CRON[15203],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
33,mail.onion.com,Mar,4,23:09:02,mail,CRON[15203],pam_unix(cron:session): session closed for user root,c61b52d9,pam_unix(cron:<*>): session closed for user <*>,"['session', 'root']"
34,mail.onion.com,Mar,4,23:17:01,mail,CRON[15329],pam_unix(cron:session): session opened for user root by (uid=0),e962e6c3,pam_unix(cron:<*>): session opened for user <*> by (uid=<*>),"['session', 'root', '0']"
