LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,mail.insect.com,Mar,4,17:49:41,mail,dovecot,imap(keven): Logged out in=7621 out=2306,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['keven', '7621', '2306']"
2,mail.insect.com,Mar,4,17:49:45,mail,dovecot,"imap-login: Login: user=<violet>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=17678, secured, session=<V4G4CwugOKZ/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<violet>', 'PLAIN', '127.0.0.1', '127.0.0.1', '17678', 'session=<V4G4CwugOKZ/AAAB>']"
3,mail.insect.com,Mar,4,17:49:45,mail,dovecot,imap(violet): Logged out in=78 out=661,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['violet', '78', '661']"
4,mail.insect.com,Mar,4,17:49:53,mail,dovecot,"imap-login: Login: user=<marjory>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=17680, secured, session=<13csDAugPqZ/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<marjory>', 'PLAIN', '127.0.0.1', '127.0.0.1', '17680', 'session=<13csDAugPqZ/AAAB>']"
5,mail.insect.com,Mar,4,17:49:53,mail,dovecot,"imap(marjory): Error: file_dotlock_create(/var/mail/marjory) failed: Permission denied (euid=1009(marjory) egid=1009(marjory) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",f49657b2,"imap(<*>): Error: file_dotlock_create(<*>) failed: Permission denied (euid=<*>(<*>) egid=<*>(<*>) missing +w perm: /<*>, we're not in group <*>(<*>), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['marjory', '/var/mail/marjory', '1009(marjory', '1009(marjory', 'var/mail', '8(mail', '0:8', '0775', 'mail']"
6,mail.insect.com,Mar,4,17:49:53,mail,dovecot,imap(marjory): Logged out in=79 out=882,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['marjory', '79', '882']"
7,mail.insect.com,Mar,4,17:49:57,mail,dovecot,"imap-login: Login: user=<violet>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=17682, secured, session=<+Ih0DAugQKZ/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<violet>', 'PLAIN', '127.0.0.1', '127.0.0.1', '17682', 'session=<+Ih0DAugQKZ/AAAB>']"
8,mail.insect.com,Mar,4,17:49:57,mail,dovecot,imap(violet): Logged out in=78 out=661,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['violet', '78', '661']"
9,mail.insect.com,Mar,4,17:49:58,mail,dovecot,"imap-login: Login: user=<long>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=17685, secured, session=<GIR/DAugQqZ/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<long>', 'PLAIN', '127.0.0.1', '127.0.0.1', '17685', 'session=<GIR/DAugQqZ/AAAB>']"
10,mail.insect.com,Mar,4,17:49:58,mail,dovecot,"imap(long): Error: file_dotlock_create(/var/mail/long) failed: Permission denied (euid=1007(long) egid=1007(long) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",f49657b2,"imap(<*>): Error: file_dotlock_create(<*>) failed: Permission denied (euid=<*>(<*>) egid=<*>(<*>) missing +w perm: /<*>, we're not in group <*>(<*>), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['long', '/var/mail/long', '1007(long', '1007(long', 'var/mail', '8(mail', '0:8', '0775', 'mail']"
