LineId,Device,Month,Date,Time,Type,Component,Content,EventId,EventTemplate,ParameterList
1,mail.insect.com,Mar,4,17:09:30,mail,dovecot,"imap-login: Login: user=<dorie>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=16498, secured, session=<Ft3FewqgEKN/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<dorie>', 'PLAIN', '127.0.0.1', '127.0.0.1', '16498', 'session=<Ft3FewqgEKN/AAAB>']"
2,mail.insect.com,Mar,4,17:09:30,mail,dovecot,"imap(dorie): Error: file_dotlock_create(/var/mail/dorie) failed: Permission denied (euid=1008(dorie) egid=1008(dorie) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",f49657b2,"imap(<*>): Error: file_dotlock_create(<*>) failed: Permission denied (euid=<*>(<*>) egid=<*>(<*>) missing +w perm: /<*>, we're not in group <*>(<*>), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['dorie', '/var/mail/dorie', '1008(dorie', '1008(dorie', 'var/mail', '8(mail', '0:8', '0775', 'mail']"
3,mail.insect.com,Mar,4,17:09:30,mail,dovecot,imap(dorie): Logged out in=79 out=882,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['dorie', '79', '882']"
4,mail.insect.com,Mar,4,17:09:34,mail,dovecot,"imap-login: Login: user=<dorie>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=16501, secured, session=<a3sHfAqgEqN/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<dorie>', 'PLAIN', '127.0.0.1', '127.0.0.1', '16501', 'session=<a3sHfAqgEqN/AAAB>']"
5,mail.insect.com,Mar,4,17:09:34,mail,dovecot,"imap(dorie): Error: file_dotlock_create(/var/mail/dorie) failed: Permission denied (euid=1008(dorie) egid=1008(dorie) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",f49657b2,"imap(<*>): Error: file_dotlock_create(<*>) failed: Permission denied (euid=<*>(<*>) egid=<*>(<*>) missing +w perm: /<*>, we're not in group <*>(<*>), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['dorie', '/var/mail/dorie', '1008(dorie', '1008(dorie', 'var/mail', '8(mail', '0:8', '0775', 'mail']"
6,mail.insect.com,Mar,4,17:09:34,mail,dovecot,imap(dorie): Logged out in=388 out=15799,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['dorie', '388', '15799']"
7,mail.insect.com,Mar,4,17:09:40,mail,dovecot,"imap-login: Login: user=<long>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=16503, secured, session=<+GZbfAqgFKN/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<long>', 'PLAIN', '127.0.0.1', '127.0.0.1', '16503', 'session=<+GZbfAqgFKN/AAAB>']"
8,mail.insect.com,Mar,4,17:09:40,mail,dovecot,"imap(long): Error: file_dotlock_create(/var/mail/long) failed: Permission denied (euid=1007(long) egid=1007(long) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",f49657b2,"imap(<*>): Error: file_dotlock_create(<*>) failed: Permission denied (euid=<*>(<*>) egid=<*>(<*>) missing +w perm: /<*>, we're not in group <*>(<*>), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['long', '/var/mail/long', '1007(long', '1007(long', 'var/mail', '8(mail', '0:8', '0775', 'mail']"
9,mail.insect.com,Mar,4,17:09:40,mail,dovecot,imap(long): Logged out in=79 out=882,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['long', '79', '882']"
10,mail.insect.com,Mar,4,17:09:41,mail,dovecot,"imap-login: Login: user=<dorie>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=16505, secured, session=<W05qfAqgFqN/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<dorie>', 'PLAIN', '127.0.0.1', '127.0.0.1', '16505', 'session=<W05qfAqgFqN/AAAB>']"
11,mail.insect.com,Mar,4,17:09:41,mail,dovecot,"imap(dorie): Error: file_dotlock_create(/var/mail/dorie) failed: Permission denied (euid=1008(dorie) egid=1008(dorie) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",f49657b2,"imap(<*>): Error: file_dotlock_create(<*>) failed: Permission denied (euid=<*>(<*>) egid=<*>(<*>) missing +w perm: /<*>, we're not in group <*>(<*>), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['dorie', '/var/mail/dorie', '1008(dorie', '1008(dorie', 'var/mail', '8(mail', '0:8', '0775', 'mail']"
12,mail.insect.com,Mar,4,17:09:41,mail,dovecot,imap(dorie): Logged out in=324 out=15715,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['dorie', '324', '15715']"
13,mail.insect.com,Mar,4,17:09:43,mail,dovecot,"imap-login: Login: user=<denis>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=16509, secured, session=<zTOMfAqgGKN/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<denis>', 'PLAIN', '127.0.0.1', '127.0.0.1', '16509', 'session=<zTOMfAqgGKN/AAAB>']"
14,mail.insect.com,Mar,4,17:09:43,mail,dovecot,"imap(denis): Error: file_dotlock_create(/var/mail/denis) failed: Permission denied (euid=1003(denis) egid=1003(denis) missing +w perm: /var/mail, we're not in group 8(mail), dir owned by 0:8 mode=0775) (set mail_privileged_group=mail)",f49657b2,"imap(<*>): Error: file_dotlock_create(<*>) failed: Permission denied (euid=<*>(<*>) egid=<*>(<*>) missing +w perm: /<*>, we're not in group <*>(<*>), dir owned by <*>:<*> mode=<*>) (set mail_privileged_group=<*>)","['denis', '/var/mail/denis', '1003(denis', '1003(denis', 'var/mail', '8(mail', '0:8', '0775', 'mail']"
15,mail.insect.com,Mar,4,17:09:43,mail,dovecot,imap(denis): Logged out in=79 out=883,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['denis', '79', '883']"
16,mail.insect.com,Mar,4,17:09:45,mail,dovecot,"imap-login: Login: user=<dorie>, method=PLAIN, rip=127.0.0.1, lip=127.0.0.1, mpid=16512, secured, session=<ij6pfAqgGqN/AAAB>",19d70957,"imap-login: Login: user=<<*>>, method=<*>, rip=<*>, lip=<*>, mpid=<*>, secured, <*>","['<dorie>', 'PLAIN', '127.0.0.1', '127.0.0.1', '16512', 'session=<ij6pfAqgGqN/AAAB>']"
17,mail.insect.com,Mar,4,17:09:45,mail,dovecot,imap(dorie): Logged out in=39 out=551,7edba00f,imap(<*>): Logged out in=<*> out=<*>,"['dorie', '39', '551']"
