time;file;initializedLogFiles;extractNerRules;extractLogEventTemplates;extractOttrBase;extractOttrInstances;generateTurtleFile
2020-12-03T07:43:41.636530Z;auth.log;5996;5;5349;25;611;7991
2020-12-03T07:43:41.636530Z;auth.log;5996;5;451;4;473;8440
2020-12-03T07:43:41.636530Z;auth.log;5996;5;212;3;123;4696
2020-12-03T07:44:16.354034Z;mail.log;7954;0;6549;61;1050;27536
2020-12-03T07:44:16.354034Z;mail.log;7954;0;21939;230;3330;48215
2020-12-03T07:46:13.774328Z;access.log;10535;2;3413;3;1097;29482
2020-12-03T07:46:13.774328Z;access.log;10535;2;909;3;1173;28838
2020-12-03T07:47:29.460337Z;messages;8978;1;1864;9;640;23367
2020-12-03T07:47:29.460337Z;messages;8978;1;1425;21;739;23559
2020-12-03T07:48:30.333091Z;audit.log;3495;0;1652;2;304;15624
2020-12-03T07:48:51.672811Z;fast.log;6555;0;936;1;457;17518
2020-12-03T07:48:51.672811Z;fast.log;6555;0;82;1;101;7753
2020-12-03T07:49:25.511388Z;error.log;2605;0;1698;6;103;5367
2020-12-03T07:49:35.561005Z;syslog;8703;0;5447;14;533;20774
2020-12-03T07:49:35.561005Z;syslog;8703;0;7115;37;465;21388
2020-12-03T07:50:40.274601Z;auth.log;6803;0;147;1;197;10162
2020-12-03T07:50:40.274601Z;auth.log;6803;0;184;1;227;8854
2020-12-03T07:50:40.274601Z;auth.log;6803;0;111;1;54;4689
2020-12-03T07:51:11.975594Z;mainlog;6932;1;259;1;347;15355
2020-12-03T07:51:11.975594Z;mainlog;6932;1;213;1;431;17638
2020-12-03T07:51:54.014195Z;daemon.log;11022;0;3162;13;335;17846
2020-12-03T07:51:54.014195Z;daemon.log;11022;0;741;9;89;8072
2020-12-03T09:48:11.649225Z;auth.log;5114;11;3405;17;604;6619
2020-12-03T09:48:11.649225Z;auth.log;5114;11;291;2;266;7300
2020-12-03T09:48:11.649225Z;auth.log;5114;11;208;2;88;4189
2022-08-02T20:51:23.405914Z;auth.log;1052;4;1635;8;207;3286
2022-08-02T20:58:27.524409Z;auth.log;861;5;1862;10;214;3415
2022-08-02T22:25:24.054352Z;auth.log;2112;5;1688;8;265;3363
2022-08-02T22:42:49.878050Z;auth.log;919;0;161;1;143;3233
2022-08-02T22:51:05.122194Z;auth.log;1161;5;1565;7;217;3381
2022-08-03T01:52:18.572243Z;auth.log;1831;4;1595;6;233;3763
2022-08-03T01:52:18.572243Z;auth.log;1831;4;61;1;6;1184
2022-08-03T01:52:27.334457Z;mail.log;38137;0;841;1;587;17927
2022-08-03T01:52:27.334457Z;mail.log;38137;0;616;1;543;17523
2022-08-03T01:52:27.334457Z;mail.log;38137;0;259;1;425;17370
2022-08-03T01:52:27.334457Z;mail.log;38137;0;228;1;425;17249
2022-08-03T01:52:27.334457Z;mail.log;38137;0;239;1;418;17328
2022-08-03T01:52:27.334457Z;mail.log;38137;0;229;1;418;17209
2022-08-03T01:52:27.334457Z;mail.log;38137;0;227;1;413;17823
2022-08-03T01:52:27.334457Z;mail.log;38137;0;221;0;417;17107
2022-08-03T01:52:27.334457Z;mail.log;38137;0;232;1;415;17939
2022-08-03T01:52:27.334457Z;mail.log;38137;0;218;1;417;17081
2022-08-03T01:52:27.334457Z;mail.log;38137;0;228;1;445;17103
2022-08-03T01:52:27.334457Z;mail.log;38137;0;219;1;412;17312
2022-08-03T01:52:27.334457Z;mail.log;38137;0;77;0;82;4002
2022-08-03T01:56:47.832817Z;messages;18038;0;2685;2;469;17178
2022-08-03T01:56:47.832817Z;messages;18038;0;782;2;484;17595
2022-08-03T01:56:47.832817Z;messages;18038;0;1734;2;505;17105
2022-08-03T01:56:47.832817Z;messages;18038;0;364;2;435;16751
2022-08-03T01:56:47.832817Z;messages;18038;0;555;3;353;12363
2022-08-03T01:58:35.321222Z;syslog;57688;0;2326;3;467;18504
2022-08-03T01:58:35.321222Z;syslog;57688;0;582;2;439;17228
2022-08-03T01:58:35.321222Z;syslog;57688;0;627;3;411;16985
2022-08-03T01:58:35.321222Z;syslog;57688;0;605;3;429;18606
2022-08-03T01:58:35.321222Z;syslog;57688;0;391;3;435;17769
2022-08-03T01:58:35.321222Z;syslog;57688;0;362;4;432;17686
2022-08-03T01:58:35.321222Z;syslog;57688;0;613;3;445;18628
2022-08-03T01:58:35.321222Z;syslog;57688;0;365;3;441;17778
2022-08-03T01:58:35.321222Z;syslog;57688;0;951;3;432;17726
2022-08-03T01:58:35.321222Z;syslog;57688;0;738;3;439;17282
2022-08-03T01:58:35.321222Z;syslog;57688;0;818;4;472;17688
2022-08-03T01:58:35.321222Z;syslog;57688;0;1134;4;436;18245
2022-08-03T01:58:35.321222Z;syslog;57688;0;483;4;415;16737
2022-08-03T01:58:35.321222Z;syslog;57688;0;461;4;436;18388
2022-08-03T01:58:35.321222Z;syslog;57688;0;678;4;433;18329
2022-08-03T01:58:35.321222Z;syslog;57688;0;664;4;431;17733
2022-08-03T01:58:35.321222Z;syslog;57688;0;467;4;430;17457
2022-08-03T01:58:35.321222Z;syslog;57688;0;262;4;88;4541
2022-08-03T02:05:00.529946Z;user.log;18289;0;1542;1;445;17023
2022-08-03T02:05:00.529946Z;user.log;18289;0;491;1;494;17428
2022-08-03T02:05:00.529946Z;user.log;18289;0;491;1;497;17323
2022-08-03T02:05:00.529946Z;user.log;18289;0;364;1;435;16277
2022-08-03T02:05:00.529946Z;user.log;18289;0;317;1;368;12770
2022-08-03T02:06:45.159957Z;auth.log;1029;0;65;0;80;3742
2022-08-03T02:06:50.132170Z;mail.info;38473;0;463;0;423;19080
2022-08-03T02:06:50.132170Z;mail.info;38473;0;289;0;429;17566
2022-08-03T02:06:50.132170Z;mail.info;38473;0;226;0;458;17630
2022-08-03T02:06:50.132170Z;mail.info;38473;0;218;0;418;17854
2022-08-03T02:06:50.132170Z;mail.info;38473;0;228;0;420;18601
2022-08-03T02:06:50.132170Z;mail.info;38473;0;234;0;424;17597
2022-08-03T02:06:50.132170Z;mail.info;38473;0;221;0;415;17875
2022-08-03T02:06:50.132170Z;mail.info;38473;0;220;0;417;17483
2022-08-03T02:06:50.132170Z;mail.info;38473;0;226;0;419;17251
2022-08-03T02:06:50.132170Z;mail.info;38473;0;216;0;417;19726
2022-08-03T02:06:50.132170Z;mail.info;38473;0;232;1;427;18001
2022-08-03T02:06:50.132170Z;mail.info;38473;0;222;1;418;18718
2022-08-03T02:06:50.132170Z;mail.info;38473;0;78;0;84;4031
2022-08-03T02:11:18.381708Z;daemon.log;1133;0;1203;2;63;3182
2022-08-03T16:03:56.745238Z;daemon.log;1589;7;2087;25;181;3312
2022-08-03T16:04:55.683306Z;daemon.log;945;5;2211;17;229;3246
2022-08-03T16:05:41.430183Z;daemon.log;986;4;3524;26;197;3463
2022-08-09T16:15:19.004703Z;auth.log;2002;4;1626;6;255;3785
2022-08-09T16:15:19.004703Z;auth.log;2002;4;69;2;5;1018
2022-08-09T16:15:27.855962Z;mail.log;37054;0;582;1;692;18145
2022-08-09T16:15:27.855962Z;mail.log;37054;0;660;2;537;18540
2022-08-09T16:15:27.855962Z;mail.log;37054;0;242;1;401;18089
2022-08-09T16:15:27.855962Z;mail.log;37054;0;236;1;446;18529
2022-08-09T16:15:27.855962Z;mail.log;37054;0;241;1;409;18134
2022-08-09T16:15:27.855962Z;mail.log;37054;0;241;1;408;17338
2022-08-09T16:15:27.855962Z;mail.log;37054;0;235;1;404;17942
2022-08-09T16:15:27.855962Z;mail.log;37054;0;235;1;416;19023
2022-08-09T16:15:27.855962Z;mail.log;37054;0;223;3;404;17937
2022-08-09T16:15:27.855962Z;mail.log;37054;0;217;0;397;17676
2022-08-09T16:15:27.855962Z;mail.log;37054;0;223;1;404;18174
2022-08-09T16:15:27.855962Z;mail.log;37054;0;221;0;431;18409
2022-08-09T16:15:27.855962Z;mail.log;37054;0;83;0;90;4055
2022-08-11T17:24:16.543112Z;auth.log;1961;5;1649;6;255;3855
2022-08-11T17:24:16.543112Z;auth.log;1961;5;60;1;4;1039
2022-08-11T17:24:25.458910Z;mail.log;37828;0;574;4;878;20924
2022-08-11T17:24:25.458910Z;mail.log;37828;0;687;3;878;19109
2022-08-11T17:24:25.458910Z;mail.log;37828;0;249;1;424;17952
2022-08-11T17:24:25.458910Z;mail.log;37828;0;245;1;420;20058
